Species_no,Family_name,Species_name_0,Species_name_1,Space_level,Function_group,Species_code,Clonality,Space_code,Replicates,Root_mass,Shoot_mass,Total_mass,Tmass_per_vol,Rmass_per_vol,RM_ratio,RS_ratio,No_leaf,No_ramet,Stem_length,Aboveground_mass_veg,Flower_mass
17,Leguminosae,Melilotus,suaveolens,a,legume,Mel,non_clonal,H60D15,4,3.68,4.49,8.17,0.77054571,0.347075669,0.450428397,0.819599109,181,13,424.6,4.49,
17,Leguminosae,Melilotus,suaveolens,a,legume,Mel,non_clonal,H60D15,5,2.08,3.43,5.51,0.519670362,0.196173204,0.377495463,0.606413994,183,20,368,3.43,
17,Leguminosae,Melilotus,suaveolens,a,legume,Mel,non_clonal,H60D15,6,3.54,1.58,5.12,0.482887887,0.333871703,0.69140625,2.240506329,158,28,206.5,1.58,
17,Leguminosae,Melilotus,suaveolens,b,legume,Mel,non_clonal,H15D30,1,1.67,4.07,5.74,0.541362592,0.157504448,0.290940767,0.41031941,197,20,842.6,4.07,
17,Leguminosae,Melilotus,suaveolens,b,legume,Mel,non_clonal,H15D30,2,2.12,5.81,7.93,0.74791034,0.199945765,0.267339218,0.364888124,341,41,969.9,5.81,
17,Leguminosae,Melilotus,suaveolens,b,legume,Mel,non_clonal,H15D30,3,0.5,1.31,1.81,0.170708413,0.04715702,0.276243094,0.381679389,67,2,61.5,1.31,
17,Leguminosae,Melilotus,suaveolens,b,legume,Mel,non_clonal,H15D30,4,1.03,3.85,4.88,0.460252517,0.097143462,0.211065574,0.267532468,273,41,959.5,3.85,
17,Leguminosae,Melilotus,suaveolens,b,legume,Mel,non_clonal,H15D30,5,2.04,5.44,7.48,0.705469022,0.192400643,0.272727273,0.375,387,54,695,5.44,
17,Leguminosae,Melilotus,suaveolens,b,legume,Mel,non_clonal,H15D30,6,0.81,1.4,2.21,0.208434029,0.076394373,0.366515837,0.578571429,93,23,181,1.4,
17,Leguminosae,Melilotus,suaveolens,c,legume,Mel,non_clonal,H15D15,1,0.47,1.13,1.6,0.603609858,0.177310396,0.29375,0.415929204,98,17,368,1.13,
17,Leguminosae,Melilotus,suaveolens,c,legume,Mel,non_clonal,H15D15,2,2.52,2.13,4.65,1.754241151,0.950685527,0.541935484,1.183098592,173,14,209,2.13,
17,Leguminosae,Melilotus,suaveolens,c,legume,Mel,non_clonal,H15D15,3,1.64,2.3,3.94,1.486389276,0.618700105,0.416243655,0.713043478,125,14,292,2.3,
17,Leguminosae,Melilotus,suaveolens,c,legume,Mel,non_clonal,H15D15,4,1.15,2.52,3.67,1.384530112,0.433844586,0.313351499,0.456349206,146,,446,2.52,
17,Leguminosae,Melilotus,suaveolens,c,legume,Mel,non_clonal,H15D15,5,0.47,0.98,1.45,0.547021434,0.177310396,0.324137931,0.479591837,60,9,87.5,0.98,
17,Leguminosae,Melilotus,suaveolens,c,legume,Mel,non_clonal,H15D15,6,0.7,1.4,2.1,0.792237939,0.264079313,0.333333333,0.5,54,11,112,1.4,
18,Leguminosae,Trifolium,pratense,a,legume,Tri_pra,clonal,H60D15,1,0.33,0.96,1.29,0.121665112,0.031123633,0.255813953,0.34375,14,,,0.96,
18,Leguminosae,Trifolium,pratense,a,legume,Tri_pra,clonal,H60D15,2,0.29,1.16,1.45,0.136755359,0.027351072,0.2,0.25,15,,,1.16,
18,Leguminosae,Trifolium,pratense,a,legume,Tri_pra,clonal,H60D15,3,,,,,,,,,,,,
18,Leguminosae,Trifolium,pratense,a,legume,Tri_pra,clonal,H60D15,4,0.33,0.93,1.26,0.118835691,0.031123633,0.261904762,0.35483871,7,,,0.93,
18,Leguminosae,Trifolium,pratense,a,legume,Tri_pra,clonal,H60D15,5,0.11,0.51,0.62,0.058474705,0.010374544,0.177419355,0.215686275,8,,,0.51,
18,Leguminosae,Trifolium,pratense,a,legume,Tri_pra,clonal,H60D15,6,,,,,,,,,,,,
18,Leguminosae,Trifolium,pratense,b,legume,Tri_pra,clonal,H15D30,1,0.16,0.8,0.96,0.090541479,0.015090247,0.166666667,0.2,8,,,0.8,
18,Leguminosae,Trifolium,pratense,b,legume,Tri_pra,clonal,H15D30,2,,,,,,,,,,,,
18,Leguminosae,Trifolium,pratense,b,legume,Tri_pra,clonal,H15D30,3,0.18,0.84,1.02,0.096200321,0.016976527,0.176470588,0.214285714,14,,,0.84,
18,Leguminosae,Trifolium,pratense,b,legume,Tri_pra,clonal,H15D30,4,,,,,,,,,,,,
18,Leguminosae,Trifolium,pratense,b,legume,Tri_pra,clonal,H15D30,5,0.14,0.96,1.1,0.103745444,0.013203966,0.127272727,0.145833333,12,,,0.96,
18,Leguminosae,Trifolium,pratense,b,legume,Tri_pra,clonal,H15D30,6,,,,,,,,,,,,
18,Leguminosae,Trifolium,pratense,c,legume,Tri_pra,clonal,H15D15,1,,,,,,,,,,,,
18,Leguminosae,Trifolium,pratense,c,legume,Tri_pra,clonal,H15D15,2,0.17,0.74,0.91,0.343303107,0.064133548,0.186813187,0.22972973,7,,,0.74,
18,Leguminosae,Trifolium,pratense,c,legume,Tri_pra,clonal,H15D15,3,,,,,,,,,,,,
18,Leguminosae,Trifolium,pratense,c,legume,Tri_pra,clonal,H15D15,4,0.13,0.38,0.51,0.192400642,0.049043301,0.254901961,0.342105263,6,,,0.38,
18,Leguminosae,Trifolium,pratense,c,legume,Tri_pra,clonal,H15D15,5,0.14,0.67,0.81,0.305577491,0.052815863,0.172839506,0.208955224,13,,,0.67,
18,Leguminosae,Trifolium,pratense,c,legume,Tri_pra,clonal,H15D15,6,0.24,1.05,1.29,0.486660448,0.090541479,0.186046512,0.228571429,9,,,1.05,
19,Leguminosae,Trifolium,repens,a,legume,Tri_rep,clonal,H60D15,1,,,,,,,,,,,,
19,Leguminosae,Trifolium,repens,a,legume,Tri_rep,clonal,H60D15,2,,,,,,,,,,,,
19,Leguminosae,Trifolium,repens,a,legume,Tri_rep,clonal,H60D15,3,1.9,4.88,6.78,0.639449194,0.179196677,0.280235988,0.389344262,37,,,4.88,
19,Leguminosae,Trifolium,repens,a,legume,Tri_rep,clonal,H60D15,4,,,,,,,,,,,,
19,Leguminosae,Trifolium,repens,a,legume,Tri_rep,clonal,H60D15,5,0.69,1.23,1.92,0.181082957,0.065076688,0.359375,0.56097561,22,,,1.23,
19,Leguminosae,Trifolium,repens,a,legume,Tri_rep,clonal,H60D15,6,0.01,0.53,0.54,0.050929582,0.00094314,0.018518519,0.018867925,9,,,0.53,
19,Leguminosae,Trifolium,repens,b,legume,Tri_rep,clonal,H15D30,1,,,,,,,,,,,,
19,Leguminosae,Trifolium,repens,b,legume,Tri_rep,clonal,H15D30,2,0.38,2.58,2.96,0.279169559,0.035839335,0.128378378,0.147286822,25,,,2.58,
19,Leguminosae,Trifolium,repens,b,legume,Tri_rep,clonal,H15D30,3,0.29,1.97,2.26,0.213149731,0.027351072,0.128318584,0.147208122,17,,,1.97,
19,Leguminosae,Trifolium,repens,b,legume,Tri_rep,clonal,H15D30,4,0.21,1.39,1.6,0.150902465,0.019805949,0.13125,0.151079137,18,,,1.39,
19,Leguminosae,Trifolium,repens,b,legume,Tri_rep,clonal,H15D30,5,0.19,1.27,1.46,0.137698499,0.017919668,0.130136986,0.149606299,19,,,1.27,
19,Leguminosae,Trifolium,repens,b,legume,Tri_rep,clonal,H15D30,6,0.11,0.38,0.49,0.04621388,0.010374544,0.224489796,0.289473684,7,,,0.38,
19,Leguminosae,Trifolium,repens,c,legume,Tri_rep,clonal,H15D15,1,0.3,0.78,1.08,0.407436654,0.113176848,0.277777778,0.384615385,11,,,0.78,
19,Leguminosae,Trifolium,repens,c,legume,Tri_rep,clonal,H15D15,2,,,,,,,,,,,,
19,Leguminosae,Trifolium,repens,c,legume,Tri_rep,clonal,H15D15,3,0.6,0.94,1.54,0.580974489,0.226353697,0.38961039,0.638297872,10,,,0.94,
19,Leguminosae,Trifolium,repens,c,legume,Tri_rep,clonal,H15D15,4,1.05,3.36,4.41,1.663699672,0.396118969,0.238095238,0.3125,38,,,3.36,
19,Leguminosae,Trifolium,repens,c,legume,Tri_rep,clonal,H15D15,5,,,,,,,,,,,,
19,Leguminosae,Trifolium,repens,c,legume,Tri_rep,clonal,H15D15,6,0.08,0.2,0.28,0.105631725,0.030180493,0.285714286,0.4,4,,,0.2,
