Species_no,Family_name,Species_name_0,Species_name_1,Space_level,Function_group,Species_code,Clonality,Space_code,Replicates,Root_mass,Shoot_mass,Total_mass,Tmass_per_vol,Rmass_per_vol,RM_ratio,RS_ratio,No_leaf,No_ramet,Stem_length,Aboveground_mass_veg,Flower_mass
3,Oxalidaceae,Oxalis,corniculata,c,forb,Oxa,clonal,H15D15,5,2.24,0.12,2.36,0.890324541,0.845053801,0.949152542,18.66666667,5,,,0.12,
3,Oxalidaceae,Oxalis,corniculata,c,forb,Oxa,clonal,H15D15,6,6.75,0.37,7.12,2.686063869,2.54647909,0.948033708,18.24324324,7,,,0.37,
4,Plantaginaceae,Plantago,asiatica,a,forb,Pla,non_clonal,H60D15,1,0.11,4.24,4.35,0.410266076,0.010374544,0.025287356,0.025943396,7,,,1.97,
4,Plantaginaceae,Plantago,asiatica,a,forb,Pla,non_clonal,H60D15,2,0.39,7.4,7.79,0.734706374,0.036782476,0.050064185,0.052702703,8,,,4.21,
4,Plantaginaceae,Plantago,asiatica,a,forb,Pla,non_clonal,H60D15,3,0.15,4.27,4.42,0.416868058,0.014147106,0.033936652,0.035128806,8,,,2.42,
4,Plantaginaceae,Plantago,asiatica,a,forb,Pla,non_clonal,H60D15,4,0.36,8.62,8.98,0.846940082,0.033953055,0.040089087,0.041763341,10,,,3.58,
4,Plantaginaceae,Plantago,asiatica,a,forb,Pla,non_clonal,H60D15,5,0.16,7.58,7.74,0.729990672,0.015090247,0.020671835,0.021108179,10,,,3.83,
4,Plantaginaceae,Plantago,asiatica,a,forb,Pla,non_clonal,H60D15,6,0.2,3.06,3.26,0.307463772,0.018862808,0.061349693,0.065359477,5,,,1.67,
4,Plantaginaceae,Plantago,asiatica,b,forb,Pla,non_clonal,H15D30,1,0.12,2.6,2.72,0.25653419,0.011317685,0.044117647,0.046153846,7,,,1.58,
4,Plantaginaceae,Plantago,asiatica,b,forb,Pla,non_clonal,H15D30,2,0.1,2.31,2.41,0.227296837,0.009431404,0.041493776,0.043290043,6,,,1.06,
4,Plantaginaceae,Plantago,asiatica,b,forb,Pla,non_clonal,H15D30,3,0.11,4.65,4.76,0.448934832,0.010374545,0.023109244,0.023655914,9,,,2.42,
4,Plantaginaceae,Plantago,asiatica,b,forb,Pla,non_clonal,H15D30,4,0.19,6.8,6.99,0.659255142,0.017919668,0.027181688,0.027941176,10,,,4.05,
4,Plantaginaceae,Plantago,asiatica,b,forb,Pla,non_clonal,H15D30,5,0.42,10.84,11.26,1.061976094,0.039611897,0.037300178,0.038745387,9,,,5.48,
4,Plantaginaceae,Plantago,asiatica,b,forb,Pla,non_clonal,H15D30,6,0.26,7.42,7.68,0.72433183,0.024521651,0.033854167,0.035040431,9,,,3.9,
4,Plantaginaceae,Plantago,asiatica,c,forb,Pla,non_clonal,H15D15,1,0.3,4.86,5.16,1.946641793,0.113176849,0.058139535,0.061728395,5,,,2.65,
4,Plantaginaceae,Plantago,asiatica,c,forb,Pla,non_clonal,H15D15,2,0.02,1.92,1.94,0.731876953,0.007545123,0.010309278,0.010416667,6,,,1.54,
4,Plantaginaceae,Plantago,asiatica,c,forb,Pla,non_clonal,H15D15,3,0.34,4.4,4.74,1.788194205,0.128267095,0.071729958,0.077272727,10,,,3.01,
4,Plantaginaceae,Plantago,asiatica,c,forb,Pla,non_clonal,H15D15,4,0.3,4.1,4.4,1.65992711,0.113176848,0.068181818,0.073170732,5,,,2.23,
4,Plantaginaceae,Plantago,asiatica,c,forb,Pla,non_clonal,H15D15,5,0.18,7.56,7.74,2.919962689,0.067906109,0.023255814,0.023809524,10,,,4.77,
4,Plantaginaceae,Plantago,asiatica,c,forb,Pla,non_clonal,H15D15,6,0.39,5.46,5.85,2.206948544,0.147129904,0.066666667,0.071428571,9,,,2.5,
5,Compositae,Silphium,perfoliatum,a,forb,Sil,clonal,H60D15,1,9.23,9.2,18.43,1.738207764,0.870518592,0.50081389,1.00326087,8,,,9.2,
5,Compositae,Silphium,perfoliatum,a,forb,Sil,clonal,H60D15,2,6.41,4.91,11.32,1.067634937,0.604552999,0.566254417,1.305498982,9,,,4.91,
5,Compositae,Silphium,perfoliatum,a,forb,Sil,clonal,H60D15,3,10.59,8.29,18.88,1.780649082,0.998785688,0.560911017,1.277442702,8,,,8.29,
5,Compositae,Silphium,perfoliatum,a,forb,Sil,clonal,H60D15,4,5.18,4.72,9.9,0.933708999,0.488546729,0.523232323,1.097457627,8,,,4.72,
5,Compositae,Silphium,perfoliatum,a,forb,Sil,clonal,H60D15,5,3.99,2.99,6.98,0.658312002,0.376313021,0.571633238,1.334448161,10,,,2.99,
5,Compositae,Silphium,perfoliatum,a,forb,Sil,clonal,H60D15,6,4.64,3.37,8.01,0.755455463,0.437617147,0.579275905,1.376854599,8,,,3.37,
5,Compositae,Silphium,perfoliatum,b,forb,Sil,clonal,H15D30,1,2.71,5.45,8.16,0.769602569,0.255591049,0.332107843,0.497247706,8,,,5.45,
5,Compositae,Silphium,perfoliatum,b,forb,Sil,clonal,H15D30,2,4.73,7.92,12.65,1.19307261,0.44610541,0.373913043,0.597222222,18,,,7.92,
5,Compositae,Silphium,perfoliatum,b,forb,Sil,clonal,H15D30,3,4.26,4.91,9.17,0.86485975,0.401777812,0.464558342,0.867617108,7,,,4.91,
5,Compositae,Silphium,perfoliatum,b,forb,Sil,clonal,H15D30,4,2.7,4.15,6.85,0.646051176,0.254647909,0.394160584,0.65060241,8,,,4.15,
5,Compositae,Silphium,perfoliatum,b,forb,Sil,clonal,H15D30,5,4.69,5.02,9.71,0.915789332,0.442332849,0.483007209,0.934262948,9,,,5.02,
5,Compositae,Silphium,perfoliatum,b,forb,Sil,clonal,H15D30,6,4.66,5.01,9.67,0.91201677,0.439503428,0.481902792,0.930139721,8,,,5.01,
5,Compositae,Silphium,perfoliatum,c,forb,Sil,clonal,H15D15,1,3.59,5.03,8.62,3.251948111,1.35434962,0.416473318,0.713717694,9,,,5.03,
5,Compositae,Silphium,perfoliatum,c,forb,Sil,clonal,H15D15,2,2.62,2.55,5.17,1.950414354,0.988411143,0.506769826,1.02745098,7,,,2.55,
5,Compositae,Silphium,perfoliatum,c,forb,Sil,clonal,H15D15,3,3.54,3.71,7.25,2.73510717,1.335486811,0.488275862,0.954177898,5,,,3.71,
5,Compositae,Silphium,perfoliatum,c,forb,Sil,clonal,H15D15,4,,,,,,,,,,,,
5,Compositae,Silphium,perfoliatum,c,forb,Sil,clonal,H15D15,5,1.74,2.53,4.27,1.610883809,0.65642572,0.407494145,0.687747036,9,,,2.53,
5,Compositae,Silphium,perfoliatum,c,forb,Sil,clonal,H15D15,6,2.26,2.56,4.82,1.818374698,0.852598925,0.468879668,0.8828125,7,,,2.56,
6,Compositae,Taraxacum,mongolicum,a,forb,Tar,non_clonal,H60D15,1,0.62,1.11,1.73,0.16316329,0.058474705,0.358381503,0.558558559,12,,,1.11,
6,Compositae,Taraxacum,mongolicum,a,forb,Tar,non_clonal,H60D15,2,1.54,1.01,2.55,0.240500803,0.145243622,0.603921569,1.524752475,16,,,1.01,
6,Compositae,Taraxacum,mongolicum,a,forb,Tar,non_clonal,H60D15,3,2.44,2.7,5.14,0.484774167,0.230126258,0.474708171,0.903703704,13,,,2.7,
6,Compositae,Taraxacum,mongolicum,a,forb,Tar,non_clonal,H60D15,4,,,,,,,,,,,,
6,Compositae,Taraxacum,mongolicum,a,forb,Tar,non_clonal,H60D15,5,1.08,1.19,2.27,0.214092872,0.101859164,0.475770925,0.907563025,10,,,1.19,
6,Compositae,Taraxacum,mongolicum,a,forb,Tar,non_clonal,H60D15,6,0.31,0.96,1.27,0.119778831,0.029237352,0.244094488,0.322916667,10,,,0.96,
6,Compositae,Taraxacum,mongolicum,b,forb,Tar,non_clonal,H15D30,1,,,,,,,,,,,,
6,Compositae,Taraxacum,mongolicum,b,forb,Tar,non_clonal,H15D30,2,,,,,,,,,,,,
6,Compositae,Taraxacum,mongolicum,b,forb,Tar,non_clonal,H15D30,3,0.24,0.83,1.07,0.100916023,0.02263537,0.224299065,0.289156627,9,,,0.83,
6,Compositae,Taraxacum,mongolicum,b,forb,Tar,non_clonal,H15D30,4,0.2,0.61,0.81,0.076394373,0.018862808,0.24691358,0.327868852,7,,,0.61,
6,Compositae,Taraxacum,mongolicum,b,forb,Tar,non_clonal,H15D30,5,0.58,1.34,1.92,0.181082957,0.054702143,0.302083333,0.432835821,13,,,1.34,
6,Compositae,Taraxacum,mongolicum,b,forb,Tar,non_clonal,H15D30,6,,,,,,,,,,,,
6,Compositae,Taraxacum,mongolicum,c,forb,Tar,non_clonal,H15D15,1,0.98,1.46,2.44,0.920505034,0.369711038,0.401639344,0.671232877,14,,,1.46,
6,Compositae,Taraxacum,mongolicum,c,forb,Tar,non_clonal,H15D15,2,,,,,,,,,,,,
6,Compositae,Taraxacum,mongolicum,c,forb,Tar,non_clonal,H15D15,3,0.7,0.97,1.67,0.63001779,0.264079313,0.419161677,0.721649485,11,,,0.97,
6,Compositae,Taraxacum,mongolicum,c,forb,Tar,non_clonal,H15D15,4,0.72,1.14,1.86,0.70169646,0.271624436,0.387096774,0.631578947,12,,,1.14,
6,Compositae,Taraxacum,mongolicum,c,forb,Tar,non_clonal,H15D15,5,,,,,,,,,,,,
6,Compositae,Taraxacum,mongolicum,c,forb,Tar,non_clonal,H15D15,6,,,,,,,,,,,,
7,Gramineae,Bromus,inermis,a,grass,Bro,clonal,H60D15,1,22.23,14.13,36.36,3.429258507,2.096601118,0.611386139,1.573248408,223,46,701.5,14.13,
7,Gramineae,Bromus,inermis,a,grass,Bro,clonal,H60D15,2,8.94,7.97,16.91,1.594850422,0.843167521,0.528681254,1.121706399,183,42,455.5384615,7.97,
7,Gramineae,Bromus,inermis,a,grass,Bro,clonal,H60D15,3,7.16,13.84,21,1.980594847,0.675288529,0.340952381,0.51734104,228,51,892.5,13.84,
7,Gramineae,Bromus,inermis,a,grass,Bro,clonal,H60D15,4,12.33,15.07,27.4,2.584204706,1.162892118,0.45,0.818181818,208,43,722.0416667,15.07,
7,Gramineae,Bromus,inermis,a,grass,Bro,clonal,H60D15,5,8.39,10.02,18.41,1.736321483,0.791294798,0.455730581,0.837325349,203,51,584.6785714,10.02,
7,Gramineae,Bromus,inermis,a,grass,Bro,clonal,H60D15,6,,,,,,,,,,,,
7,Gramineae,Bromus,inermis,b,grass,Bro,clonal,H15D30,1,0.24,13.13,13.37,1.260978719,0.02263537,0.017950636,0.018278751,191,46,683.6111111,13.13,
7,Gramineae,Bromus,inermis,b,grass,Bro,clonal,H15D30,2,5.25,13.15,18.4,1.735378342,0.495148712,0.285326087,0.399239544,196,60,844,13.15,
7,Gramineae,Bromus,inermis,b,grass,Bro,clonal,H15D30,3,5.45,10.84,16.29,1.536375717,0.514011519,0.33456108,0.502767528,116,29,512.3333333,10.84,
7,Gramineae,Bromus,inermis,b,grass,Bro,clonal,H15D30,4,6.74,15.38,22.12,2.086226573,0.635676631,0.304701627,0.438231469,268,61,984.9705882,15.38,
7,Gramineae,Bromus,inermis,b,grass,Bro,clonal,H15D30,5,5.81,14.02,19.83,1.87024742,0.547964575,0.292990419,0.414407989,211,56,1022,14.02,
7,Gramineae,Bromus,inermis,b,grass,Bro,clonal,H15D30,6,4.08,13.39,17.47,1.647666285,0.384801285,0.233543217,0.304705004,176,45,793.125,13.39,
7,Gramineae,Bromus,inermis,c,grass,Bro,clonal,H15D15,1,2.29,4.95,7.24,2.731334609,0.863916611,0.316298343,0.462626263,92,21,324.5454545,4.95,
7,Gramineae,Bromus,inermis,c,grass,Bro,clonal,H15D15,2,1.23,3.46,4.69,1.769331397,0.464025079,0.262260128,0.355491329,44,9,139,3.46,
7,Gramineae,Bromus,inermis,c,grass,Bro,clonal,H15D15,3,3.21,6.63,9.84,3.712200628,1.210992277,0.326219512,0.484162896,96,25,386.25,6.63,
7,Gramineae,Bromus,inermis,c,grass,Bro,clonal,H15D15,4,7.24,6.67,13.91,5.247633205,2.731334609,0.520488857,1.085457271,113,25,405.6818182,6.67,
7,Gramineae,Bromus,inermis,c,grass,Bro,clonal,H15D15,5,2.85,5.34,8.19,3.089727962,1.07518006,0.347985348,0.533707865,79,19,152,5.34,
7,Gramineae,Bromus,inermis,c,grass,Bro,clonal,H15D15,6,2.26,4.59,6.85,2.584204706,0.852598924,0.329927007,0.492374728,64,18,223,4.59,
8,Gramineae,Cynodon,dactylon,a,grass,Cyn,clonal,H60D15,1,,,,,,,,,,,,
8,Gramineae,Cynodon,dactylon,a,grass,Cyn,clonal,H60D15,2,0.96,2.31,3.27,0.308406912,0.090541479,0.293577982,0.415584416,8,21,568,2.31,32
8,Gramineae,Cynodon,dactylon,a,grass,Cyn,clonal,H60D15,3,1.39,8.13,9.52,0.897869664,0.131096516,0.146008403,0.17097171,11,50,1906.944444,8.13,16
8,Gramineae,Cynodon,dactylon,a,grass,Cyn,clonal,H60D15,4,,,,,,,,,,,,
8,Gramineae,Cynodon,dactylon,a,grass,Cyn,clonal,H60D15,5,0.1,0.7,0.8,0.075451232,0.009431404,0.125,0.142857143,1,3,67.5,0.7,
8,Gramineae,Cynodon,dactylon,a,grass,Cyn,clonal,H60D15,6,0.38,3.37,3.75,0.353677651,0.035839335,0.101333333,0.112759644,7,24,639.5,3.37,30
8,Gramineae,Cynodon,dactylon,b,grass,Cyn,clonal,H15D30,1,,,,,,,,,,,,
8,Gramineae,Cynodon,dactylon,b,grass,Cyn,clonal,H15D30,2,0.15,0.69,0.84,0.079223794,0.014147106,0.178571429,0.217391304,2,7,185.5,0.69,6
8,Gramineae,Cynodon,dactylon,b,grass,Cyn,clonal,H15D30,3,0.18,2.13,2.31,0.217865433,0.016976527,0.077922078,0.084507042,8,13,409,2.13,23.2
8,Gramineae,Cynodon,dactylon,b,grass,Cyn,clonal,H15D30,4,0.18,1.51,1.69,0.159390728,0.016976527,0.106508876,0.119205298,5,18,370,1.51,226
8,Gramineae,Cynodon,dactylon,b,grass,Cyn,clonal,H15D30,5,0.05,0.96,1.01,0.095257181,0.004715702,0.04950495,0.052083333,4,10,242,0.96,12
8,Gramineae,Cynodon,dactylon,b,grass,Cyn,clonal,H15D30,6,0.41,1.46,1.87,0.176367255,0.038668756,0.219251337,0.280821918,8,15,428.5,1.46,46
8,Gramineae,Cynodon,dactylon,c,grass,Cyn,clonal,H15D15,1,0.07,0.87,0.94,0.354620792,0.026407931,0.074468085,0.08045977,8,8,189.5,0.87,27
8,Gramineae,Cynodon,dactylon,c,grass,Cyn,clonal,H15D15,2,0.01,0.23,0.24,0.090541479,0.003772562,0.041666667,0.043478261,3,4,75,0.23,22
8,Gramineae,Cynodon,dactylon,c,grass,Cyn,clonal,H15D15,3,0.13,0.87,1,0.377256161,0.049043301,0.13,0.149425287,2,6,217,0.87,7
8,Gramineae,Cynodon,dactylon,c,grass,Cyn,clonal,H15D15,4,0.38,1.39,1.77,0.667743406,0.143357342,0.214689266,0.273381295,2,14,387,1.39,2
8,Gramineae,Cynodon,dactylon,c,grass,Cyn,clonal,H15D15,5,0.05,0.27,0.32,0.120721972,0.018862808,0.15625,0.185185185,3,2,71,0.27,13
8,Gramineae,Cynodon,dactylon,c,grass,Cyn,clonal,H15D15,6,0.1,0.95,1.05,0.396118969,0.037725616,0.095238095,0.105263158,5,15,256,0.95,22
9,Gramineae,Festuca,arundinacea,a,grass,Fes,clonal,H60D15,1,2.24,0.6,2.84,0.267851875,0.211263451,0.788732394,3.733333333,25,7,53.5,0.6,
9,Gramineae,Festuca,arundinacea,a,grass,Fes,clonal,H60D15,2,,,,,,,,,,,,
9,Gramineae,Festuca,arundinacea,a,grass,Fes,clonal,H60D15,3,0.43,0.86,1.29,0.121665112,0.040555037,0.333333333,0.5,10,3,24.5,0.86,
9,Gramineae,Festuca,arundinacea,a,grass,Fes,clonal,H60D15,4,1.12,0.95,2.07,0.195230064,0.105631725,0.541062802,1.178947368,26,5,32.5,0.95,
9,Gramineae,Festuca,arundinacea,a,grass,Fes,clonal,H60D15,5,,,,,,,,,,,,
9,Gramineae,Festuca,arundinacea,a,grass,Fes,clonal,H60D15,6,0.38,0.53,0.91,0.085825777,0.035839335,0.417582418,0.716981132,12,3,20,0.53,
9,Gramineae,Festuca,arundinacea,b,grass,Fes,clonal,H15D30,1,0.81,1.42,2.23,0.21032031,0.076394373,0.3632287,0.570422535,23,5,60,1.42,
9,Gramineae,Festuca,arundinacea,b,grass,Fes,clonal,H15D30,2,0.84,1.36,2.2,0.207490889,0.079223794,0.381818182,0.617647059,18,3,35,1.36,
9,Gramineae,Festuca,arundinacea,b,grass,Fes,clonal,H15D30,3,0.62,1.24,1.86,0.175424115,0.058474705,0.333333333,0.5,28,7,59,1.24,
9,Gramineae,Festuca,arundinacea,b,grass,Fes,clonal,H15D30,4,1.11,1.18,2.29,0.215979152,0.104688585,0.484716157,0.940677966,24,6,45,1.18,
9,Gramineae,Festuca,arundinacea,b,grass,Fes,clonal,H15D30,5,,,,,,,,,,,,
9,Gramineae,Festuca,arundinacea,b,grass,Fes,clonal,H15D30,6,0.42,0.7,1.12,0.105631725,0.039611897,0.375,0.6,25,5,41,0.7,
9,Gramineae,Festuca,arundinacea,c,grass,Fes,clonal,H15D15,1,0.42,0.85,1.27,0.479115325,0.158447588,0.330708661,0.494117647,21,5,48,0.85,
9,Gramineae,Festuca,arundinacea,c,grass,Fes,clonal,H15D15,2,0.54,1.36,1.9,0.716786707,0.203718327,0.284210526,0.397058824,39,11,93,1.36,
9,Gramineae,Festuca,arundinacea,c,grass,Fes,clonal,H15D15,3,1.47,1.72,3.19,1.203447155,0.554566557,0.460815047,0.854651163,37,10,59.5,1.72,
9,Gramineae,Festuca,arundinacea,c,grass,Fes,clonal,H15D15,4,0.41,0.57,0.98,0.369711038,0.154675026,0.418367347,0.719298246,18,5,46,0.57,
9,Gramineae,Festuca,arundinacea,c,grass,Fes,clonal,H15D15,5,,,,,,,,,,,,
9,Gramineae,Festuca,arundinacea,c,grass,Fes,clonal,H15D15,6,1.67,3.07,4.74,1.788194205,0.630017789,0.352320675,0.543973941,45,10,96,3.07,
10,Gramineae,Paspalum,notatum,a,grass,Pas,clonal,H60D15,1,1.89,1.56,3.45,0.325383439,0.178253536,0.547826087,1.211538462,28,,,1.56,
10,Gramineae,Paspalum,notatum,a,grass,Pas,clonal,H60D15,2,1.78,1.35,3.13,0.295202946,0.167878992,0.568690096,1.318518519,40,,,1.35,
10,Gramineae,Paspalum,notatum,a,grass,Pas,clonal,H60D15,3,3.89,2.96,6.85,0.646051176,0.366881617,0.567883212,1.314189189,22,,,2.96,
10,Gramineae,Paspalum,notatum,a,grass,Pas,clonal,H60D15,4,4.87,2.85,7.72,0.728104392,0.459309377,0.630829016,1.70877193,67,,,2.85,
10,Gramineae,Paspalum,notatum,a,grass,Pas,clonal,H60D15,5,1.7,1.48,3.18,0.299918648,0.160333868,0.534591195,1.148648649,29,,,1.48,
10,Gramineae,Paspalum,notatum,a,grass,Pas,clonal,H60D15,6,2.3,1.85,4.15,0.391403267,0.216922292,0.554216867,1.243243243,44,,,1.85,
10,Gramineae,Paspalum,notatum,b,grass,Pas,clonal,H15D30,1,0.84,1.64,2.48,0.23389882,0.079223794,0.338709677,0.512195122,32,,,1.64,
10,Gramineae,Paspalum,notatum,b,grass,Pas,clonal,H15D30,2,0.62,0.93,1.55,0.146186763,0.058474705,0.4,0.666666667,37,,,0.93,
10,Gramineae,Paspalum,notatum,b,grass,Pas,clonal,H15D30,3,0.91,0.9,1.81,0.170708413,0.085825777,0.502762431,1.011111111,27,,,0.9,
10,Gramineae,Paspalum,notatum,b,grass,Pas,clonal,H15D30,4,0.64,0.96,1.6,0.150902465,0.060360986,0.4,0.666666667,14,,,0.96,
10,Gramineae,Paspalum,notatum,b,grass,Pas,clonal,H15D30,5,1.74,2.07,3.81,0.359336494,0.16410643,0.456692913,0.84057971,47,,,2.07,
10,Gramineae,Paspalum,notatum,b,grass,Pas,clonal,H15D30,6,,,,,,,,,,,,
10,Gramineae,Paspalum,notatum,c,grass,Pas,clonal,H15D15,1,,,,,,,,,,,,
10,Gramineae,Paspalum,notatum,c,grass,Pas,clonal,H15D15,2,0.94,1.18,2.12,0.799783062,0.354620791,0.443396226,0.796610169,22,,,1.18,
10,Gramineae,Paspalum,notatum,c,grass,Pas,clonal,H15D15,3,0.42,0.87,1.29,0.486660448,0.158447588,0.325581395,0.482758621,16,,,0.87,
10,Gramineae,Paspalum,notatum,c,grass,Pas,clonal,H15D15,4,2.9,3.07,5.97,2.252219284,1.094042868,0.485762144,0.944625407,72,,,3.07,
10,Gramineae,Paspalum,notatum,c,grass,Pas,clonal,H15D15,5,1.66,1.67,3.33,1.256263017,0.626245227,0.498498498,0.994011976,35,,,1.67,
10,Gramineae,Paspalum,notatum,c,grass,Pas,clonal,H15D15,6,,,,,,,,,,,,
11,Gramineae,Pennisetum,alopecuroides,a,grass,Pen,non_clonal,H60D15,1,0.95,11.09,12.04,1.135541046,0.089598338,0.078903654,0.085662759,25,4,306.5,8.02,3.07
11,Gramineae,Pennisetum,alopecuroides,a,grass,Pen,non_clonal,H60D15,2,3.89,21.15,25.04,2.36162357,0.366881618,0.155351438,0.18392435,13,2,296.2,10.96,10.19
11,Gramineae,Pennisetum,alopecuroides,a,grass,Pen,non_clonal,H60D15,3,5.43,23.17,28.6,2.697381554,0.512125239,0.18986014,0.234354769,13,2,207.5,18.07,5.1
11,Gramineae,Pennisetum,alopecuroides,a,grass,Pen,non_clonal,H60D15,4,0.1,31.93,32.03,3.020878712,0.009431404,0.003122073,0.003131851,16,3,320,19.51,12.42
11,Gramineae,Pennisetum,alopecuroides,a,grass,Pen,non_clonal,H60D15,5,0.22,13.23,13.45,1.268523843,0.020749088,0.016356877,0.016628874,,,,11.53,1.7
11,Gramineae,Pennisetum,alopecuroides,a,grass,Pen,non_clonal,H60D15,6,0.34,7.44,7.78,0.733763234,0.032066773,0.043701799,0.045698925,,,,5.29,2.15
11,Gramineae,Pennisetum,alopecuroides,b,grass,Pen,non_clonal,H15D30,1,2.84,7.05,9.89,0.932765859,0.267851874,0.287158746,0.402836879,5,1,100,6.28,0.77
